Gene_group	Gene_name	Canonical_Transcript
0	APP	ENST00000346798.8
0	PSEN1	ENST00000324501.10
0	PSEN2	ENST00000366783.8
1	GRN	ENST00000053867.8
1	MAPT	ENST00000262410.10
1	CHMP2B	ENST00000263780.9
1	FUS	ENST00000254108.12
1	TARDBP	ENST00000040877.2
1	TBK1	ENST00000331710.10
1	VCP	ENST00000358901.11
1	LRRK2	ENST00000298910.12
1	PARK2	ENST00000366888.7
1	PARK7	ENST00000338639.10
1	PINK1	NST00000321556.5
1	SNCA	ENST00000394991.8
1	UCHL1	ENST00000284440.9
1	ATP13A2	ENST00000326735.13
1	GIGYF2	ENST00000373563.9
1	HTRA2	ENST00000258080.8
1	PLA2G6	ENST00000332509.8
1	FBXO7	ENST00000266087.12
1	VPS35	ENST00000299138.12
1	EIF4G1	ENST00000346169.7
1	DNAJC16	ENST00000377577.10
1	SOD1	ENST00000270142.11
1	OPTN	ENST00000378747.8
1	UBQLN2	ENST00000338222.7
1	PFN1	ENST00000225655.6
2	TREM2	ENST00000338469.3
2	TREM2	ENST00000373113.8
2	SORL1	ENST00000260197.12
2	ABCA7	ENST00000263094.11
2	ABCA1	ENST00000374736.8
2	ATP8B4	ENST00000284509.11
2	APOE	ENST00000252486.9
2	ADAM10	ENST00000260408.8
1	PRNP	ENST00000379440.9
3	MAPT	ENST00000262410.10
3	MOBP	ENST00000319928.9 
3	EIF2AK3	ENST00000303236.9
3	STX6	ENST00000258301.6
3	SLCO1A2	ENST00000683939.1 
3	DUSP10	ENST00000366899.4
